ID,Age,Gender,Angry,Disgust,Fear,Happy,Sad,Surprised,Neutral,Style1,VStyle1,Style2,VStyle2,Style3,VStyle3
dea34000,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
186bcda2,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
f5c31706,23,Male,0.03073103427886963,0.0055484938621520995,0.022117457389831542,0.0010822083801031112,0.2933978080749512,0.0035167348384857176,0.6436062622070312,Casual,0.1646784333255487,Business,0.14894680496154536,Denim,0.10798990084691408
5c188468,23,Male,0.03073103427886963,0.0055484938621520995,0.022117457389831542,0.0010822083801031112,0.2933978080749512,0.0035167348384857176,0.6436062622070312,Casual,0.1646784333255487,Business,0.14894680496154536,Denim,0.10798990084691408
9550a741,28,Male,0.07070534706115722,0.0011275172978639602,0.019009993076324463,0.002848057448863983,0.32408748626708983,0.009649438858032227,0.5725721740722656,Business,0.21161440450768784,Casual,0.13541151138873989,Denim,0.11866404504466206
21967d0c,28,Male,0.07070534706115722,0.0011275172978639602,0.019009993076324463,0.002848057448863983,0.32408748626708983,0.009649438858032227,0.5725721740722656,Business,0.21161440450768784,Casual,0.13541151138873989,Denim,0.11866404504466206
b58e8951,25,Male,0.03848457813262939,0.002748577296733856,0.08555331230163574,0.029259889125823973,0.5113345336914062,0.018372414112091066,0.31424665451049805,Casual,0.17020329602012663,Business,0.14811684232045716,Bohemian,0.1460141286013969
cc759f97,26,Male,0.00016529526561498642,3.1486604711972175e-06,2.065809443593025e-05,0.9981190490722657,1.9019735045731068e-05,0.0003579941764473915,0.0013148233294487,Casual,0.17567771291951984,Business,0.15944499935292256,Vintage,0.1536460068721295
cc163b7b,26,Male,0.00016529526561498642,3.1486604711972175e-06,2.065809443593025e-05,0.9981190490722657,1.9019735045731068e-05,0.0003579941764473915,0.0013148233294487,Casual,0.17567771291951984,Business,0.15944499935292256,Vintage,0.1536460068721295
b6395ecc,26,Male,0.00016529526561498642,3.1486604711972175e-06,2.065809443593025e-05,0.9981190490722657,1.9019735045731068e-05,0.0003579941764473915,0.0013148233294487,Casual,0.17567771291951984,Business,0.15944499935292256,Vintage,0.1536460068721295
194533f0,26,Male,0.00016529526561498642,3.1486604711972175e-06,2.065809443593025e-05,0.9981190490722657,1.9019735045731068e-05,0.0003579941764473915,0.0013148233294487,Casual,0.17567771291951984,Business,0.15944499935292256,Vintage,0.1536460068721295
